URL,İlan No,İlan Tarihi,İlçe,İl,Fiyat,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Takasa Uygun,Kimden
"https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-6-tdci-trend-x/sahibinden-ford-focus-1-6-tdci-trend-x-2013-model/35315001","35315001",30 Kasım 2025,"Menemen","İzmir","620.000 TL","Ford","Focus","1.6 TDCi Trend X","2013","254.000 km","Düz","Dizel","Sedan","Beyaz","1560 cc","115 hp","Önden Çekiş","İkinci El","4,2 lt","53 lt",,"Sahibinden"
"https://www.arabam.com/ilan/galeriden-satilik-volkswagen-polo-1-0-tsi-comfortline/2020-polo-1-0-tsi-comfortline-dsg-95-hp-bayi-bakimli/35316548","35316548",30 Kasım 2025,"Karşıyaka","İzmir","1.225.000 TL","Volkswagen","Polo","1.0 TSi Comfortline","2020","84.000 km","Yarı Otomatik","Benzin","Hatchback/5","Turuncu","999 cc","95 hp","Önden Çekiş","İkinci El","4,6 lt","40 lt","Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/sahibinden-satilik-renault-megane-1-6-joy/sahibinden-renault-megane-1-6-joy-2017-model/35314908","35314908",30 Kasım 2025,"Karabağlar","İzmir","830.000 TL","Renault","Megane","1.6 Joy","2017","170.000 km","Düz","Benzin","Hatchback/5","Gri (titanyum)","1598 cc","115 hp","Önden Çekiş","İkinci El","6,3 lt","47 lt",,"Sahibinden"
"https://www.arabam.com/ilan/galeriden-satilik-volkswagen-golf-1-4-tsi-highline/evrensel-auto-dan-volkswagen-golf-140-hb/35316258","35316258",30 Kasım 2025,"Kiraz","İzmir","1.200.000 TL","Volkswagen","Golf","1.4 TSi Highline","2013","172.000 km","Otomatik","Benzin","Hatchback/5","Beyaz","1201 - 1400 cm3","126 - 150 HP","Önden Çekiş","İkinci El",,,"Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-toyota-verso-1-6-d-4d-elegant/ozer-garage-den-7-kisilik-toyota-verso-1-6-d4d-elegant/33607879","33607879",30 Kasım 2025,"Gaziemir","İzmir","674.000 TL","Toyota","Verso","1.6 D-4D Elegant","2014","222.000 km","Düz","Dizel","MPV","Beyaz","1598 cc","112 hp","Önden Çekiş","İkinci El","4,5 lt","55 lt","Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-6-flame-x-pack/ege-eymenler-otomotiv/35316018","35316018",30 Kasım 2025,"Tire","İzmir","1.645.000 TL","Toyota","Corolla","1.6 Flame X Pack","2020","91.000 km","Otomatik","LPG & Benzin","Sedan","Mavi","1401 - 1600 cm3","126 - 150 HP","Önden Çekiş","İkinci El",,,"Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-4-d-4d-advance/iz-park-auto-2016-corolla-1-4-d-4d-advance-otomatik-115-000-km/35315997","35315997",30 Kasım 2025,"Gaziemir","İzmir","999.900 TL","Toyota","Corolla","1.4 D-4D Advance","2016","115.000 km","Otomatik","Dizel","Sedan","Beyaz","1201 - 1400 cm3","76 - 100 HP","Önden Çekiş","İkinci El",,,"Takasa Uygun","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/masrafsiz-1-6-tdi-bmt-dsg-b7-passat-comfortline/35315827","35315827",30 Kasım 2025,"Ödemiş","İzmir","1.025.000 TL","Volkswagen","Passat","1.6 TDi BlueMotion Comfortline","2014","242.000 km","Otomatik","Dizel","Sedan","Beyaz","1401 - 1600 cm3","101 - 125 HP","Önden Çekiş","İkinci El",,,"Takasa Uygun Değil","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/masrafsiz-otomatik-sahibinden-b7-passat/35315797","35315797",30 Kasım 2025,"Ödemiş","İzmir","1.050.000 TL","Volkswagen","Passat","1.6 TDi BlueMotion Comfortline","2013","170.000 km","Yarı Otomatik","Dizel","Sedan","Gri","1598 cc","105 hp","Önden Çekiş","İkinci El","4,7 lt","70 lt","Takasa Uygun Değil","Galeriden"
"https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-variant-1-5-tsi-elegance/camkiran-h2-gaziemir-den2024-vw-passat-variant-1-5etsi-elegance/35315642","35315642",30 Kasım 2025,"Gaziemir","İzmir","2.820.000 TL","Volkswagen","Passat Variant","1.5 TSI Elegance","2024","14.995 km","Yarı Otomatik","Hibrit","Station wagon","Siyah","1498 cc","150 hp","Önden Çekiş","İkinci El","5,3 lt","66 lt","Takasa Uygun","Yetkili Bayiden"
